,Survived,Pclass,Sex,Age,Fare,Family_cnt,cabin_ind,Level
0,0,3,0,22.0,7.25,1,0,9
1,1,1,1,38.0,71.2833,1,1,3
2,1,3,1,26.0,7.925,0,0,9
3,1,1,1,35.0,53.1,1,1,3
4,0,3,0,35.0,8.05,0,0,9
5,0,3,0,29.69911764705882,8.4583,0,0,9
6,0,1,0,54.0,51.8625,0,1,5
7,0,3,0,2.0,21.075,4,0,9
8,1,3,1,27.0,11.1333,2,0,9
9,1,2,1,14.0,30.0708,1,0,9
10,1,3,1,4.0,16.7,2,1,7
11,1,1,1,58.0,26.55,0,1,3
12,0,3,0,20.0,8.05,0,0,9
13,0,3,0,39.0,31.275,6,0,9
14,0,3,1,14.0,7.8542,0,0,9
15,1,2,1,55.0,16.0,0,0,9
16,0,3,0,2.0,29.125,5,0,9
17,1,2,0,29.69911764705882,13.0,0,0,9
18,0,3,1,31.0,18.0,1,0,9
19,1,3,1,29.69911764705882,7.225,0,0,9
20,0,2,0,35.0,26.0,0,0,9
21,1,2,0,34.0,13.0,0,1,4
22,1,3,1,15.0,8.0292,0,0,9
23,1,1,0,28.0,35.5,0,1,1
24,0,3,1,8.0,21.075,4,0,9
25,1,3,1,38.0,31.3875,6,0,9
26,0,3,0,29.69911764705882,7.225,0,0,9
27,0,1,0,19.0,263.0,5,1,3
28,1,3,1,29.69911764705882,7.8792,0,0,9
29,0,3,0,29.69911764705882,7.8958,0,0,9
30,0,1,0,40.0,27.7208,0,0,9
31,1,1,1,29.69911764705882,146.5208,1,1,2
32,1,3,1,29.69911764705882,7.75,0,0,9
33,0,2,0,66.0,10.5,0,0,9
34,0,1,0,28.0,82.1708,1,0,9
35,0,1,0,42.0,52.0,1,0,9
36,1,3,0,29.69911764705882,7.2292,0,0,9
37,0,3,0,21.0,8.05,0,0,9
38,0,3,1,18.0,18.0,2,0,9
39,1,3,1,14.0,11.2417,1,0,9
40,0,3,1,40.0,9.475,1,0,9
41,0,2,1,27.0,21.0,1,0,9
42,0,3,0,29.69911764705882,7.8958,0,0,9
43,1,2,1,3.0,41.5792,3,0,9
44,1,3,1,19.0,7.8792,0,0,9
45,0,3,0,29.69911764705882,8.05,0,0,9
46,0,3,0,29.69911764705882,15.5,1,0,9
47,1,3,1,29.69911764705882,7.75,0,0,9
48,0,3,0,29.69911764705882,21.6792,2,0,9
49,0,3,1,18.0,17.8,1,0,9
50,0,3,0,7.0,39.6875,5,0,9
51,0,3,0,21.0,7.8,0,0,9
52,1,1,1,49.0,76.7292,1,1,4
53,1,2,1,29.0,26.0,1,0,9
54,0,1,0,65.0,61.9792,1,1,2
55,1,1,0,29.69911764705882,35.5,0,1,3
56,1,2,1,21.0,10.5,0,0,9
57,0,3,0,28.5,7.2292,0,0,9
58,1,2,1,5.0,27.75,3,0,9
59,0,3,0,11.0,46.9,7,0,9
60,0,3,0,22.0,7.2292,0,0,9
61,1,1,1,38.0,80.0,0,1,2
62,0,1,0,45.0,83.475,1,1,3
63,0,3,0,4.0,27.9,5,0,9
